2023-01-09 11:39:36.512 [DEBU] {6462c442e486381713cb9b7a05b46e7c} [ 14 ms] [default] [shop] [rows:9  ] SHOW FULL COLUMNS FROM `admin_info`
2023-01-09 11:39:36.529 [DEBU] {c9739e43e486381714cb9b7a59346dd6} [ 16 ms] [default] [shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`deleted_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE (`name`='song') AND `deleted_at` IS NULL LIMIT 1
2023-01-09 12:36:57.001 [DEBU] {f7079950058a38176bc954472bb9e329} [  2 ms] [default] [shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`deleted_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE (`name`='song') AND `deleted_at` IS NULL LIMIT 1
2023-01-09 12:36:57.004 [DEBU] {44c0cc50058a38176cc95447f7555124} [  1 ms] [default] [shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`deleted_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE (`id`='3') AND `deleted_at` IS NULL LIMIT 1
2023-01-09 12:36:57.009 [DEBU] {6f84e550058a38176dc954477c92f08f} [  5 ms] [default] [shop] [rows:5  ] SHOW FULL COLUMNS FROM `role_permission_info`
2023-01-09 12:36:57.011 [DEBU] {ff783c51058a38176ec954472c47659c} [  1 ms] [default] [shop] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-01-09 12:36:57.014 [DEBU] {cd155551058a38176fc9544767b462b0} [  2 ms] [default] [shop] [rows:6  ] SHOW FULL COLUMNS FROM `permission_info`
2023-01-09 12:36:57.015 [DEBU] {e26e8551058a381770c9544777127be2} [  0 ms] [default] [shop] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-01-09 12:41:26.930 [DEBU] {b42f6829448a38171030e9545579863c} [  5 ms] [default] [shop] [rows:9  ] SHOW FULL COLUMNS FROM `admin_info`
2023-01-09 12:41:26.933 [DEBU] {a8edc929448a38171130e9549590cc1c} [  2 ms] [default] [shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`deleted_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE (`name`='song') AND `deleted_at` IS NULL LIMIT 1
2023-01-09 12:41:26.936 [DEBU] {2dd4072a448a38171230e9549fafccb9} [  1 ms] [default] [shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`deleted_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE (`id`='3') AND `deleted_at` IS NULL LIMIT 1
2023-01-09 12:41:26.941 [DEBU] {f8fa222a448a38171330e954ce6a30f7} [  4 ms] [default] [shop] [rows:5  ] SHOW FULL COLUMNS FROM `role_permission_info`
2023-01-09 12:41:26.943 [DEBU] {f1c46e2a448a38171430e95493242248} [  1 ms] [default] [shop] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-01-09 12:41:26.947 [DEBU] {0c59862a448a38171530e954bbba8571} [  4 ms] [default] [shop] [rows:6  ] SHOW FULL COLUMNS FROM `permission_info`
2023-01-09 12:41:26.948 [DEBU] {15d5c52a448a38171630e954566d9cbf} [  0 ms] [default] [shop] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-01-09 12:42:02.009 [DEBU] {68b36d544c8a38171a30e9544e9c81b0} [  3 ms] [default] [shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`deleted_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE (`name`='song') AND `deleted_at` IS NULL LIMIT 1
2023-01-09 12:42:13.208 [DEBU] {4c5a11f04e8a38171c30e954f2d9b4d8} [  1 ms] [default] [shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`deleted_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE (`name`='song') AND `deleted_at` IS NULL LIMIT 1
2023-01-09 12:42:36.262 [DEBU] {8860ea4d548a38172509af61bea2945c} [  5 ms] [default] [shop] [rows:9  ] SHOW FULL COLUMNS FROM `admin_info`
2023-01-09 12:42:36.264 [DEBU] {d47c434e548a38172609af61d7ae5a42} [  1 ms] [default] [shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`deleted_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE (`name`='song') AND `deleted_at` IS NULL LIMIT 1
2023-01-09 12:43:40.577 [DEBU] {c2015547638a381776319d7805398165} [  6 ms] [default] [shop] [rows:9  ] SHOW FULL COLUMNS FROM `admin_info`
2023-01-09 12:43:40.579 [DEBU] {aa9cb947638a381777319d78ca3f916e} [  2 ms] [default] [shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`deleted_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE (`name`='song') AND `deleted_at` IS NULL LIMIT 1
2023-01-09 12:45:05.978 [DEBU] {73e6b029778a381709bdb71513b4e572} [  5 ms] [default] [shop] [rows:9  ] SHOW FULL COLUMNS FROM `admin_info`
2023-01-09 12:45:05.980 [DEBU] {70bf0f2a778a38170abdb71539c87d02} [  1 ms] [default] [shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`deleted_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE (`name`='song') AND `deleted_at` IS NULL LIMIT 1
2023-01-09 12:45:05.984 [DEBU] {be4b4e2a778a38170bbdb715c83ee437} [  1 ms] [default] [shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`deleted_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE (`id`='3') AND `deleted_at` IS NULL LIMIT 1
2023-01-09 12:45:05.988 [DEBU] {65eb682a778a38170cbdb7156da7911d} [  3 ms] [default] [shop] [rows:5  ] SHOW FULL COLUMNS FROM `role_permission_info`
2023-01-09 12:45:05.989 [DEBU] {e261982a778a38170dbdb715cbb4d085} [  1 ms] [default] [shop] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-01-09 12:45:05.992 [DEBU] {ac11ad2a778a38170ebdb71537eaa450} [  3 ms] [default] [shop] [rows:6  ] SHOW FULL COLUMNS FROM `permission_info`
2023-01-09 12:45:05.993 [DEBU] {4e3fde2a778a38170fbdb715e255759a} [  0 ms] [default] [shop] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
